latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3546,-6.2595,803,Clouds,"broken clouds",04d,279.78,276.95,279.02,280.68,1031,81,10000,4.12,80,0,0,0,0,75,1677827351,1677866716,2023-03-03,14:52:49
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.52,276.63,279.03,280,1031,81,10000,4.12,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:05:05
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.52,276.63,279.03,280,1031,81,10000,4.12,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:05:05
53.3455,-6.2643,803,Clouds,"broken clouds",04d,279.58,276.7,279.03,280.14,1031,81,10000,4.12,80,0,0,0,0,75,1677827352,1677866718,2023-03-03,15:11:22
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.63,276.82,279.03,280.31,1031,80,10000,4.02,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:16:54
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.63,276.82,279.03,280.31,1031,81,10000,4.02,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:23:21
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.63,276.82,279.03,280.31,1031,81,10000,4.02,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:24:27
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.63,276.82,279.03,280.31,1031,81,10000,4.02,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:24:27
53.346,-6.2561,803,Clouds,"broken clouds",04d,279.68,277.11,279.45,280.15,1031,81,10000,3.6,90,0,0,0,0,75,1677827350,1677866716,2023-03-03,15:37:49
53.3545,-6.2594,803,Clouds,"broken clouds",04d,279.66,277.09,279.42,280.13,1031,81,10000,3.6,90,0,0,0,0,75,1677827351,1677866716,2023-03-03,15:39:02
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.67,277.1,279.44,280.14,1031,81,10000,3.6,90,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:39:22
53.3545,-6.2594,803,Clouds,"broken clouds",04d,279.57,276.74,279.02,280.13,1031,80,10000,4.02,80,0,0,0,0,75,1677827351,1677866716,2023-03-03,15:50:02
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.67,277.8,279.44,280.14,1032,80,10000,2.57,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,15:53:54
53.3545,-6.2594,803,Clouds,"broken clouds",04d,279.65,277.77,279.42,280.13,1032,79,10000,2.57,80,0,0,0,0,75,1677827351,1677866716,2023-03-03,16:01:14
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.67,277.8,279.44,280.14,1032,79,10000,2.57,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:08:08
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.67,277.8,279.44,280.14,1032,79,10000,2.57,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:07:34
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.94,279.44,280.14,1032,78,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:20:14
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.94,279.44,280.14,1032,78,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:25:14
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.77,276.94,279.44,280.14,1032,78,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:20:14
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.64,276.78,279.27,280.14,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:31:04
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.64,276.78,279.27,280.14,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:32:16
53.3467,-6.2599,803,Clouds,"broken clouds",04d,279.64,276.78,279.27,280.14,1032,79,10000,4.12,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:38:05
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.64,277.38,279.27,280.14,1032,79,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:45:04
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.41,277.11,279.2,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,16:53:40
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.41,277.11,279.2,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:00:15
53.3468,-6.2645,803,Clouds,"broken clouds",04d,279.41,277.11,279.19,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827352,1677866718,2023-03-03,16:58:47
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.31,276.99,278.92,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:06:01
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.31,276.99,278.92,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:06:01
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.31,276.99,278.92,279.68,1032,80,10000,3.09,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:15:51
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.1,276.11,278.52,279.68,1032,81,10000,4.12,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:23:49
